,id,item_id,position,path,protocol,mimetype,checksum,orientation,metadata,size,page,color,density,filename
130,277,276,1.0,Pasted image 20240829085152.png,file,image/png,ce625c6772d55c2cd3ad7c372d759106,1,{},985045,0,"rgb(200,184,152,1)",,
131,279,278,1.0,allegory_of_prudence_hieroglyphica.png,file,image/png,84f84bde35eebbe4776c87c5f576c6a3,1,{},762223,0,"rgb(184,168,152,1)",,
132,281,280,1.0,allegory_of_prudence_hieroglyphica_vg.svg,file,image/svg+xml,c66652697d62a8ffd0f6deedbae78653,1,{},287159,0,"rgb(255,255,255,1)",72.0,
133,283,282,1.0,allegory_of_prudence_hieroglyphica_white.png,file,image/png,acf1323b7c6c211fd9a1080db509bcbd,1,{},1157424,0,"rgb(255,255,255,1)",,
134,285,284,1.0,armonia_retori_45.jpg,file,image/jpeg,38cf17deeceb41d4bf7a3e8426a21b3b,1,{},163197,0,"rgb(168,120,72,1)",,
135,287,286,1.0,armonia_retori_45_vg.svg,file,image/svg+xml,8bf58726ac1435f183641132e79efe11,1,{},122687,0,"rgb(255,255,255,1)",72.0,
136,289,288,1.0,armonia_retori_49.jpg,file,image/jpeg,c0b4a305bb12a69687c0eb3d747d607d,1,{},181398,0,"rgb(216,184,136,1)",,
137,291,290,1.0,armonia_retori_49_vg.svg,file,image/svg+xml,6d5ed46f68cc5098e72390f694408704,1,{},172108,0,"rgb(255,255,255,1)",72.0,
138,293,292,1.0,armonia_retori_51.jpg,file,image/jpeg,c79a0072612c4202aeb4f41287f9fb43,1,{},185848,0,"rgb(216,184,152,1)",,
139,295,294,1.0,armonia_retori_51_vg.svg,file,image/svg+xml,47065f7160a980856a303a780d790079,1,{},156390,0,"rgb(255,255,255,1)",72.0,
140,297,296,1.0,armonia_retori_53.jpg,file,image/jpeg,ac92c144bef727ce1d21d6258c5fd535,1,{},184724,0,"rgb(200,152,104,1)",,
141,299,298,1.0,armonia_retori_53_vg.svg,file,image/svg+xml,dea9d8d7c0f39c64b807cd274660cc6d,1,{},174451,0,"rgb(255,255,255,1)",72.0,
142,301,300,1.0,ars_magna_sciendi_123.jpg,file,image/jpeg,3e011522ace977e49c2b0f4b93ccbcdf,1,{},268672,0,"rgb(248,232,200,1)",,
