"Object ID",FAAM-ID,Title,"Editorial annotations - Object ID","Handwritten annotations - Object ID"
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,16002509
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992116
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992229
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992216
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992173
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992128
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992154
15992303,KCA-030902419669,"Fantaisie: pour orchestre",15992223,15992124
15992304,KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",,15992201
15992304,KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",,15992131
15992304,KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",,15992177
15992304,KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",,15992223
15992304,KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",,15992105
15992304,KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",,15992203
15992304,KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",,15992116
15992304,KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",,15992216
15992304,KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",,15996307
15992304,KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",,15996291
15992305,KCA-030902584090,Improvisata,,15992116
15992305,KCA-030902584090,Improvisata,,15996285
15992305,KCA-030902584090,Improvisata,,15992152
15992305,KCA-030902584090,Improvisata,,15996307
15992305,KCA-030902584090,Improvisata,,15992223
15992305,KCA-030902584090,Improvisata,,15992112
15992305,KCA-030902584090,Improvisata,,15992154
15992305,KCA-030902584090,Improvisata,,15992205
15992305,KCA-030902584090,Improvisata,,15992105
15992306,KCA-030902519450,"In nomine Jesu: baryton",,15992131
15992306,KCA-030902519450,"In nomine Jesu: baryton",,15996285
15992306,KCA-030902519450,"In nomine Jesu: baryton",,15992212
15992306,KCA-030902519450,"In nomine Jesu: baryton",,15992127
15992306,KCA-030902519450,"In nomine Jesu: baryton",,15992116
15992306,KCA-030902519450,"In nomine Jesu: baryton",,15992177
15992307,KCA-030902606158,"In nomine Jesu: baryton",15996307,
15992307,KCA-030902606158,"In nomine Jesu: baryton",15996291,
15992307,KCA-030902606158,"In nomine Jesu: baryton",15996285,
15992308,KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",15996307,15992212
15992308,KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",15996307,15992204
15992308,KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",15996307,15992127
15992308,KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",15996307,15992105
15992308,KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",15996307,15992161
15992308,KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",15996307,15992152
15992308,KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",15996307,15992143
15992308,KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",15996307,15992173
15992308,KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",15996307,16002509
15992308,KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",15996307,15992112
15992309,KCA-030902580874,"Concert aria : kerstnacht = Air de concert : nuit de Noël",,15996285
15992309,KCA-030902580874,"Concert aria : kerstnacht = Air de concert : nuit de Noël",,15992212
15992309,KCA-030902580874,"Concert aria : kerstnacht = Air de concert : nuit de Noël",,15992201
